"Customer Care Request: Request Number","Reason for Request"
"R03190070718","Paid for next day, order not verified for 2 days, refund for shipping approved by Cory"
"R04190074478","Palatability; last two orders pet owner states have ""made my dogs poop awful"", whereas when ordering from the clinic it does not...pet owner stated ""My vet seems to think that this food has been contaminated during shipping somehow. """
"R04190075596","Palatability: reshipping another bag."
"R04190075890","palatability ( shipping facility is both RC and Hill's)"
"R06190081093","Palitability refund, it's making the pet sick. cannot cancel order in shipping state it's in."
"R01190065848","Partial refund. 3 cans damaged in shipping."
"R12180063397","Per Angela, refunding shipping fee as client did not know it would not ship until 12/26."
"R01190063620","Per Angela - Refund client for Next Day shipping order placed over the long holiday weekend."
"R05190077588","Per Angela refunding shipping (14.95) and 20% of order for delay in shipment. See Case 0202546"
"R02190067220","per Angela refunding shipping due to ND shipping not greying out on first time compound orders"
"R01190065184","Per Angela reshipping due to AS address error."
"R01190066085","Per Anna closing the order and reshipping the food. Due RC issues"
"R07190084907","Per anna refund shipping"
"R06190084543","PEr April L refund shipping"
"R03190073002","Per Bambi (pharmacist) refund shipping cost due to delay on shipping."
"R07190085693","Per case 02571019 reship for temp sens item shipping over holiday and weekend."
"R02190067080","Per client order 1000007493441 that per tracking 479529985755 never arrived. Submitting the QA and reshipping. Address was correct per client."
"R07190085674","Per client order has not arrived at all, and never got tracking email. Per tracking 788066724968 order was delivered on 6/25/2019. Address is correct and they did get there cans order. Reshipping dry food."
"R12180062917","Per coreys request  refund for late shipping and pharmacy fee"
"R01190065108","Per Cory refunding the Shipping (19.95) for order delay with Vet"
"R06190082150","per Dr Brockman refund shipping since they didn't approve last week."
"R03190070007","Per Emily on time courtesy refund cost of shipping on the t/d diet. Client indicates that she did no see the cost until after placing the order (then it pop up)."
"R07190086599","Per Emily refund in full order since there was a system error with the shipping address."
"R01190063625","Per Emily reshipping the correct product, since when replacing order agent made mistake on product."
"R01190063623","Per Emily send a call tag, since this order was an agent error when replacing for the incorrect product. Reshipping for the correct item on a dif CCR"
"R04190073764","Per Heidi Refunding the shipping due to the original order being sent to the old address, updated the shipping info on file"
"R07190085006","Per Jenae and Darla, product has been sitting in KS heat and we should've updated her address last time we spoke with her- so we are reshipping, please destroy this once returned."
"R02190068664","Per Jenae refund shipping"
"R05190080722","Per Jenae  Refund shipping due to agent error."
"R02190069479","per Kimeri refund whole shipment.  shipping charge was already refunded in Jan."
"R04190074023","Per Meyer refund shipping"
"R04190075616","Per MF this sounded like user error - reshipping single dose for customer courtesy"
"R06190082855","Per PV1 exceptions request refund cost of shipping due to there conversation with clinic."
"R07190085971","Per QA/Emily  refunding cost of shipping on order that arrived warm for Insulin."
"R07190085990","Per QA-1933185 reshipping"
"R07190086122","Per QA-1933307 reshipping"
"R01190063851","per Sarah just refund amount for mass confusion on shipping. Client placed order and shipping was an issue. Was returned to Houston. Never shipped back out per him, said he spoke to 2 agents and there are zero notes"
"R04190074748","Per team lead we are approving return shipping cost of $8.00."
"R03190072916","Pet had this food once last yer, client did not get email notification of it shipping.  Pet does not eat this type of food anymore."
"R12160009943","Pet is deceased, has not opened shipping box."
"R06190083160","Pet is deceased. Client paid for expedite shipping and pet died within time frame of using medication."
"R06190083267","pet needs medication asap. Client was not aware that she selected std shipping on order. Clinic will provide client with new medication today. Dr has approved PSR"
"R05190078661","Pet owner called because they need the rest of their order, but the Greenies Pill Pockets being OOS are preventing other products from shipping. Closed order, performed 2 no-charge reships per lead approval so that the greenies do not prevent the rest of"
"R06190082178","Pet owner received order for prescription items intended for another client 
Advised shipping label would be sent via email to ldmoore@optonline.net"
"R04190074019","Pet owner was billed shipping due to agent error; food is on Autoship"
"R04190075788","pet passed before getting the order, refunding shipping per Janet, as it is more then the normal refund"
"R06190082659","pet refused to eat it, client thought something was wrong with it, reshipping."
"R05190077581","placed order on 5/1/19 and we got the script for it on 5/1 but it didn't ship until 5/6. Refunding shipping"
"R06190081506","Please issue a refund for the shipping for this product. Owner did not get this in time and paid to have it shipped overnight."
"R04190073359","Please issue a refund for the shipping on order 99999900636242 it was returned to RC."
"R01190064336","please refund for the 19.95 shipping due to fraud delay on order"
"R03190071298","please refund order for welcome6  due to shipping delay"
"R07190086110","Please refund shipping"
"R07190086710","Please refund shipping  1-2 bd and apply the discount for GRASSLAND $20"
"R05190076991","Please refund shipping and one bottle on order; pet owner is reordering product that was not received because they need it and cannot wait for QA to be completed, free shipping option was not available for this product. QA has been complete."
"R01190064295","Please refund shipping charge due to AS error per Emily M"
"R01190063752","Please refund shipping charge due to delay in process per Emily M"
"R04190073683","Please refund  shipping cost as client did not received item as quickly as he thought. In  the meantime he purchased it from  someone else."
"R07190087128","Please refund shipping cost per Shalia Donaldson due to shipping delays."
"R02190067526","Please refund shipping cost which he paid for but due to the system update on Monday - it was delayed. Please refund $14.95 per Sarah."
"R05190078186","Please refund shipping fee as a one time courtesy for delay. We had a question regarding order and client is upset."
"R07190087220","Please refund shipping on this order"
"R07190086015","Please refund the client the shipping $14.95"
"R05190078430","Please send order back out. It was sent to the address but no apt number and shipped back to us. Correct addres: 2250 King Ct. Apt. 37 San Luis Obispo, CA 93401. Send back out via FedEx ND shipping."
"R03190071362","Please send order back out to same address with Fedex shipping option"
"R06190081112","Please send order back out via FedEx ND shipping to:
6655 Plank Rd 
Afton VA 22920"
"R04190075069","Please send this order back out with 1-2 business day shipping to address: 
673 Siler Rd Franklin NC 28734-2313"
"R07190086899","Please ship back out with ND shipping to!!!
4400 SW 20 Ave, Apt 2201
Gainesville, FL 32607"
"R07190087283","PO box order with air shipping - did not catch in WAG and clinic was not notified of updated USPS shipping/arriving later than expected. Issuing 50% refund"
"R03190071192","Practice is upset that client paid for 2nd day shipping but order was not delivered until 03/13/19 with a ship date of 03/08/19, would like client to be refund shipping cost."
"R07190085401","Practice place order in error, unable to return, will issue a refund minus the shipping."
"R04190076416","prescription change, dog only ate 2 cans of this order. Refunding all unused food and shipping per Heidi"
"R03190070297","Pre-Shipment February 26, 2019 at 12:16 pm Shipping Label Created, USPS Awaiting Item
Sticker on tope of shipping label, return to us by carrier"
"R06190082596","Previous order canceled due to RR not shipping to NC, price match auth, new order already placed, refund for difference per Corey S."
"R06190082041","previous order damaged in shipping"
"R03190071983","previous orders were cancelled by us in error, refunding the shipping costs"
"R03190070044","Previous package never arrived. Reshipping"
"R05190079741","Product arrived damaged - Hole in the product bag itself, but the shipping box was intact."
"R02190067101","product frozen Reshipping per Tiffany"
"R06190081942","product MBO all other items have shipped or shipping separately refund for Hydroxyzine when Amlodipine ships"
"R05190080221","Product OOS, order placed 11 days ago, client requested refund of shipping fee due to delay."
"R07190085829","Product sent with improper shipping method, insulin shipped on 7/3 but received on 7/8"
"R03190070249","Product was returned to sender, Per Jenae reshipping"
"R01190064457","PSR approved by Alyssa for shipping cost."
"R06190084287","PSR refund for shipping $19.95"
"R01190065337","QA, 15% refund for shipping delays"
"R04190075193","qa, refund shipping"
"R01190066343","QA; incorrectly forwarded. Please reshelve as we are reshipping an order now"
"R01190063609","QA; refund shipping"
"R02190069089","QA; reshipping to vet at client's request (have shipped there before)"
"R01190064756","qa and escalation; client did not and would not understand the coupon to cover shipping. Refunding an additional $19.95 ""shipping"" to resolve"
"R05190077443","QA- refunding shipping plus$25"
"R01190063553","qa- refund shipping"
"R03190072385","qa shipping delay"
"R12180063155","QA - shipping issue. Order not received."
"R04190075020","Rachel called because owner was upset about shipping charge for Order 1000009790531 which is temp sensitive.  Owner place order on Saturday and chose ND ship.  Rachel asked to refund owner $5 for difference for ND and 2nd day"
"R02190068193","Received cat food instead of dog food. Reshipping her the dog food"
"R05190076925","received whole grain instead of limited ingredients. client sending back for a refund. It is upopened and undamaged. + shipping paid back"
"R01190064091","Received wrong food (select protein). Reshipping."
"R06190082955","Refund ""extra"" shipping paid for 1-2 business day shipping per Emily M."
"R05190080622","Refund $19.95 shipping charge as courtesy"
"R04190076537","Refund 14.95 due to escalation over shipping time"
"R06190083732","refund 14.95 shipping"
"R07190085584","Refund 19.95 shipping for 4th of July insulin shipping issue."
"R07190086233","refund 20.95 next day shipping"
"R01190065472","refund 50% for shipping delay"
"R06190082118","Refund 50% of shipping due to client confusion on what ""shipping times"" meant."
"R07190085395","Refund as courtesy for shipping +10% subtotal per HW"
"R05190077893","refunded shipping"
"R05190080085","refund for food shipping issue"
"R01190064388","refund for ND shipping once shipped due to OOS delay"
"R04190076250","refund for next day shipping charge due to multiple stock delays. Additional 10% refunded for curt. delay."
"R03190070460","Refund for order not received - product + shipping"
"R06190082295","refund for shipping"
"R02190069542","Refund for shipping"
"R03190071384","refund for shipping"
"R07190085595","Refund for shipping"
"R07190085738","Refund for shipping"
"R05190080671","Refund for shipping"
"R01190066612","Refund for shipping, 2 orders placed seperatly but could not be combined as both beyond C&R  Courtesy refund for shipping as both will ship out same time"
"R01190064097","Refund for shipping; client's order was placed and approved 1/2, not shipped until 1/7"
"R06190081975","Refund for shipping. Selected for 1-2 business days but shipped 2-3 business days."
"R07190086523","Refund for shipping. Took 4 business days to get to her. She paid 1-2 business days. Approved by Heidi W."
"R04190076022","Refund for shipping (Per Jenae) - client has order on AS but mistakenly did one time only"
"R07190085892","Refund for shipping 7/3 shipping error"
"R02190068259","Refund for shipping approved per lead Emily due to delayed order"
"R03190071441","Refund for shipping approved per lead Heidi due to Pimobendan not being shipped 1-2 days as it should have been (was sent with 2nd day)"
"R03190072194","Refund for shipping charge"
"R05190078908","refund for shipping charge due to extended stock delays"
"R03190072496","refund for shipping Client placed new order when updating cc"
"R01190063668","Refund for shipping -- delayed order"
"R06190084537","refund for shipping delays on reship order"
"R05190077755","Refund for shipping due to delayed approval per lead approval"
"R02190066961","Refund for shipping due to delays"
"R06190083970","Refund for shipping due to OOS delay"
"R06190081838","Refund for shipping due to order being delayed by exception process"
"R01190066371","Refund for shipping due to warehouse error."
"R03190071022","refund for shipping for OOS item when shipped please"
"R07190085760","refund for shipping on case 02572673"
"R06190084272","refund for shipping per AL"
"R04190076808","Refund for shipping per Angela"
"R04190076861","Refund for shipping per April Laskey."
"R07190085852","refund for shipping per case 02574319"
"R07190085044","Refund for shipping per COry"
"R02190068541","refund for shipping when order ships due to OOS delay"
"R05190079129","Refund for the clients shipping per heide"
"R02190068443","Refund for Tylosin due to use voiding the shipping"
"R04190075377","refund his shipping"
"R04190075931","Refunding $14.95 shipping charge. Clinic ordered for client and didn't put on AS. Client wants on AS for frequency 24 weeks."
"R07190086132","Refunding $5 due to delay on order. UPS lost package, but will deliver a day late from shipping method."
"R06190082170","refunding client 19.95 for shipping delay from vet approval"
"R01190064290","Refunding client for shipping as he placed for 1-2 business day shipping and it is not getting there within that time frame even with weekend, etc."
"R01190066031","Refunding client for shipping fee due to late order per emily . please refund"
"R12180063421","Refunding client for shipping fee of $19.95 on order. Will be changing shipping method to USPS per client request."
"R03190071367","refunding client for small supply of food she had locally due to shipping issue with Hill's"
"R01190064107","Refunding client for the shipping  14.95  per jenae"
"R01190064753","refunding  client for the shipping  per angela honor"
"R01190063956","Refunding client shipping fee. please honor jenae"
"R02190067086","Refunding cost of shipping, since its being held a day."
"R06190083782","Refunding due to product not shipping"
"R04190075841","refunding due to shipping issue - delivered never received"
"R05190078049","refunding for agent error - shipping cost"
"R02190069697","refunding for portion on order not shipping"
"R05190077789","refunding for shipping"
"R07190085999","refunding for shipping"
"R07190087059","Refunding for shipping and coupon."
"R02190067574","Refunding for shipping charges per Anna."
"R07190086304","refunding for shipping - client received product on 3rd BD"
"R07190085681","refunding for shipping due to delay"
"R01190066424","refunding for shipping due to issue"
"R03190072850","Refunding for the shipping per Emily Meyer. The vet took almost a week to approve the order."
"R02190067746","Refunding for the shipping since it was shipped to the wrong address. Approved by Sarah Marts."
"R05190078666","Refunding for Vetsulin shipping as it is a will call order."
"R02190069428","Refunding free 2-3 BD shipping on first compounded order as initial order was canceled."
"R05190078880","Refunding instead of reshipping as discussed with client for most recent order"
"R04190075523","refunding ND shipping charge, product was out of stock and took several days to ship"
"R12180063358","Refunding next day shipping due to delay in order going out. Per clinic, client is VERY upset."
"R03190071417","refunding shipping"
"R04190074328","Refunding shipping"
"R07190087229","refunding shipping, it was not as fast as she would like or thought it would take"
"R07190085902","refunding shipping, know issues with 7/3 insulin orders"
"R02190068621","Refunding shipping, since we did not ship FedEx."
"R12180062652","refunding shipping. Clinic approved the wrong dose.  He already talked to the clinic and they sent a new one but charged overnight shipping. Emily approved refund"
"R04190075795","Refunding shipping (will call order) per Bambi."
"R04190075796","Refunding shipping (will call order) per Bambi."
"R02190069134","Refunding Shipping & Handling per case 02243107"
"R02190069168","Refunding shipping approved by Angela."
"R02190067085","refunding shipping as a CLIENT COURTESY"
"R05190078788","refunding shipping as a client courtesy (order is being delivered on the third business day )"
"R02190069044","Refunding shipping as a courtesy to the clinic."
"R02190068249","refunding shipping as courtesy for issue with meds"
"R01190064055","Refunding shipping as order was placed 12/30/18 and still hasn't shipped."
"R01190063502","Refunding shipping because of delay - see case for more details"
"R06190081140","Refunding shipping charege"
"R01190063605","refunding shipping charge, product was OOS"
"R05190077739","refunding shipping charge due to approval delays"
"R05190078855","refunding shipping charge due to multiple stock delays"
"R01190064009","refunding shipping charge for client"
"R01190064842","refunding shipping charge for QA-1924955"
"R02190069046","refunding shipping charge per Angela due to FedEx weather delay"
"R02190069200","Refunding shipping client is going to have to spending over $100 at walgreens to get some now"
"R06190082980","refunding shipping cost"
"R07190085439","refunding shipping cost a customer courtesy due to client escalation"
"R05190079529","Refunding shipping cost due to agent error that delayed shipping."
"R01190063741","refunding shipping cost due to delay at pharmacy"
"R06190082501","Refunding shipping cost due to delays per Emily Meyer"
"R05190078096","refunding shipping costs per QA"
"R06190084823","Refunding shipping cost this one time for food order"
"R04190075690","Refunding shipping - Dr. did understand the expedited shipping options on practice pay. Educated doctor about shipping and agreed to refund shipping on first order."
"R01190065932","refunding shipping due to address error"
"R02190067288","refunding shipping due to blackout date"
"R04190076010","Refunding shipping due to client escalation"
"R04190075971","Refunding shipping due to client escalation"
"R06190081399","refunding shipping due to delay and confusion over shipping policy. Per Angela."
"R04190074575","refunding shipping due to issue with CC processor on our side"
"R05190078915","refunding shipping due to issue with the order that caused her to stop using us. Per Angela."
"R07190087037","refunding shipping due to order 1000012181837 stated as delivered and not received and client had to order before running put, per MM"
"R03190070465","refunding shipping due to WAG delay"
"R06190082439","refunding shipping fee as a courtesy for issues with order"
"R02190068763","refunding shipping for client"
"R01190066251","Refunding shipping for client on this order as it didn't arrive, we are doing a reship as well."
"R03190070441","refunding shipping for delay with vet and instructions"
"R05190078801","refunding shipping for delivery issues"
"R03190070103","refunding shipping for O"
"R07190087100","refunding shipping for order not shipping mondya"
"R04190073368","refunding shipping for QA"
"R04190076295","refunding shipping for QA"
"R01190064075","refunding shipping for replacement order"
"R01190064346","refunding shipping on order for QA-1924776"
"R06190083912","refunding shipping on this order, PSR was declined"
"R06190081240","Refunding shipping - package appears to be stuck in label created"
"R07190086080","refunding shipping paid"
"R07190085452","refunding shipping paid for escalation"
"R05190078037","refunding shipping per Angela"
"R02190068119","refunding shipping per Angela, order placed on Wednesday ND shipping and shipped on Monday (temp sensitive item but client upset)"
"R01190063869","refunding shipping per Cory for customer retention due to holiday delay even though it was delivered on the 2nd business day as promised"
"R06190083468","Refunding shipping per Cory S."
"R12180062649","Refunding shipping per Randi as PX lacks clarity for processing + shipping times."
"R02190067081","Refunding shipping since it can got today."
"R05190080922","Refunding shipping that client paid to send Client B and C's order back to us. See attached picture."
"R06190081119","refunding shipping to appease client, courtesy refund"
"R06190083720","refunding the 19.95 ND shipping fee. Client is having item shipped to PO Box with standard 3 to 5 day shipping instead"
"R01190065130","refunding  the client for shipping"
"R06190082862","Refunding the client for the shipping fee 19.95 per heidie"
"R01190065497","refunding the shipping"
"R05190077925","Refunding the shipping cost since her first order was cancelled. Approved by Angela Smith."
"R02190068324","refunding the shipping for the inconvience"
"R05190080095","Refunding the shipping per emily request 14.95"
"R02190067507","refunding the shipping  per the case"
"R02190068234","refunding the shipping per VFC  - refunding tomorrow - completed the Pharm fee refund today 2/13"
"R05190077525","refunding the shipping see case"
"R05190077833","refunding the shipping this one time"
"R01190066754","refunding the shipping we lost a day on Tuesday when it could have gone out but it stopped in pack ready for some reason even though if it gets to him today it will still be in the 1-2 days the refund will make the situation better for the client."
"R02190067272","refunding the shipping - will call order"
"R05190078844","Refund ND shipping"
"R02190069521","refund of 14.95 shipping per Janet  once client picks up order from will call."
"R07190086009","refund of shipping charges on order 1000011958226  per Tim Shellenberger"
"R07190086010","Refund of shipping charges per Tim Shellenberger"
"R05190078299","refund on shipping from delay"
"R04190074417","Refund per Emily for shipping as client gets charged shipping even with product being picked up."
"R04190074418","Refund per Emily for shipping as client gets charged shipping even with product being picked up."
"R03190070752","Refund shipping"
"R07190086764","refund shipping"
"R06190083599","Refund shipping, employee will call"
"R04190075428","refund shipping, QA"
"R05190077590","Refund shipping. Client wanted prod. on AS - Set up FSD"
"R07190084951","Refund shipping as a courtesy"
"R03190072791","refund shipping as a courtesy for upset client regarding OOS delay"
"R02190068913","refund shipping as courtesy."
"R07190085805","refund shipping charge"
"R05190078904","refund shipping charge due to multiple stock delays"
"R03190072932","refund shipping charge due to stock delays and confusion with C&Ring from previous order"
"R03190072326","refund shipping charge due to stock delays when order ships"
"R01190063590","refund shipping  charge for client due to delay"
"R06190082473","Refund shipping - Clinic courtesy"
"R07190085345","Refund shipping cost. Customer will call."
"R06190082127","Refund Shipping cost due to wrong address delivery by UPS Janae approved the Reship"
"R05190079704","refund shipping courtesy- explained to client why her temp sensitive item was held"
"R06190081231","Refund shipping due to approval delays"
"R05190078368","refund shipping due to AS campaign, per Sarah M"
"R05190078263","Refund Shipping due to client is upset that the order did not fill on Friday as stated by agent. Agent said product would ship on Friday and arrive on Saturday and client is not happy and wants a full refund of order Heidi Weir approved the refund"
"R05190078062","Refund shipping due to insufficient notes holding order in WAG"
"R05190078852","refund shipping due to several stock delays"
"R07190086076","Refund shipping due to VFC error"
"R12180063215","refund shipping fee due to QA"
"R06190084830","Refund shipping for client, she was escalated."
"R01190066736","Refund shipping for doctor"
"R07190085569","Refund shipping for Insulin 4th of July issue"
"R06190083421","Refund shipping for OOS delay."
"R05190078823","Refund shipping for RC tech delay in WAG"
"R07190085956","Refund shipping insulin arrived hot"
"R07190086216","Refund shipping of improperly shipped order perbTim Shellenberger"
"R06190082144","refund shipping on AS"
"R07190085703","refund shipping per case 02570767"
"R07190085856","refund shipping per case 02574140"
"R07190085675","Refund shipping per case due to temp sens. items not arriving on time"
"R03190070660","Refund shipping per Cory - Client is escalated as she assumed 1-2 business days would get her order to her by today (03/08) Tracking states no delivery until 03/11"
"R04190076585","Refund shipping per Emily M"
"R07190085937","Refund shipping per Emily M due to Rx approval delay for HG+"
"R12180062818","Refund shipping per escalated Client"
"R07190085213","Refund shipping per Escalated Client per Shaila"
"R07190085991","Refund shipping per QA"
"R07190085697","Refund shipping per QA-1933110"
"R07190085706","Refund shipping per QA-1933115 temp sens item"
"R04190076179","Refund shipping per Rebecca Helms, CVET North Carolina field rep, to apese customer service issue with clinic."
"R06190081388","refund shipping QA"
"R05190080097","refund the ND shipping for OOS delay"
"R02190068344","reimbursement for purchase at clinic after shipping delay per Heidi"
"R02190068343","reimbursement for purchase at clinic after shipping delay per Heidi"
"R04190075744","Rene has been in the hospital for the last 3 weeks, she is not being released until 4/24. Her father tried to go get her mail and cat food delivery but there was no food left at the door. Reshipping at no cost to her parents home as client is still in the"
"R06190083079","replaced order and free shipping option on first compounded med"
"R07190085905","Requesting refund for shipping, 10 day delay getting Rx verified."
"R03190071565","Reship due to CA warehouse misshipping order."
"R06190084328","Reship due to the bag of food the client received had slits throughout the bag and the shipping box was smashed and full of tape."
"R03190072960","reship for shipping delay"
"R07190085719","Reship for temp sens. shipping issue."
"R01190063769","Reshipment due to Shipping return Error"
"R01190063613","Reshipment for shipping error by FedEx"
"R03190072516","reshipment to client was a client A got Client B, reshipping again"
"R04190073624","reshipping 1 bottle per case"
"R01190063703","Reshipping 1 click dose pen due to medication clogging within the pen. Owner has already attempted troubleshooting measures."
"R03190069931","reshipping 1 dose per case"
"R05190078535","reshipping 1 pen per case"
"R05190078321","reshipping 1 pen per case 02417903"
"R02190069262","reshipping 2 bag  per 100% guarantee"
"R04190073428","reshipping 2 bags per case"
"R01190065901","reshipping 2 lactated ringer"
"R03190072546","reshipping 2 syringes per case"
"R02190066991","reshipping 30 to the client - pharmacist error"
"R04190074302","reshipping 6 pack"
"R04190075637","reshipping a 30 ct per case"
"R01190066341","reshipping a bag to client - see case"
"R03190071689","reshipping Adequan  per case"
"R04190074517","reshipping a new 10 pack per case"
"R03190070029","reshipping a new order to client"
"R02190068434","reshipping a new order to client per case -AE"
"R01190064605","reshipping a new order to the client"
"R01190066520","reshipping a new order to the client per case"
"R01190066372","reshipping a new order to the client per case"
"R02190066850","reshipping a new pen per QA case"
"R05190078679","reshipping a new pen to the client per case"
"R07190085068","Reshipping a reship that hasn't delivered."
"R05190080611","reshipping a single chew per case"
"R02190068481","Reshipping a single dose that was originally approved by Heidi, but VIP accidentally declined. They called to have us redo the reship"
"R03190072936","reshipping a single dose to the client"
"R05190079713","reshipping a single pen to client"
"R03190072804","reshipping a single pen to the client"
"R05190078687","reshipping a single ProZinc insulin vial per  case"
"R02190068328","Reshipping as one time courtesy to client"
"R06190082362","reshipping bag per case"
"R03190072437","reshipping client a new order per case"
"R04190075546","reshipping client a new order per case"
"R06190084774","Reshipping client courtesy."
"R05190076966","Reshipping Client got the larger food and dog can not eat"
"R06190083690","Reshipping correct size per April L"
"R05190077866","Reshipping due to client escalation over OOS and tracking issues with RC"
"R07190087356","Reshipping due to clients ordering sitting in limbo in the shipping process"
"R01190066775","Reshipping due to FedEx losing in transit"
"R07190084997","Reshipping due to technical issue on our end and client needing the food that was suppose to ship to her"
"R03190072889","reshipping for delay"
"R05190077440","Reshipping for product stuck in ship ready"
"R05190080757","reshipping girder"
"R05190078646","reshipping girder per case 02423421"
"R03190072710","Reshipping HG+ due to wrong clients order received."
"R04190076176","REshipping Hydroxyzine per case"
"R03190071228","Reshipping missing product"
"R02190068197","reshipping new order to client - see case for further details"
"R01190066752","reshipping one bag to client"
"R01190065075","reshipping one pen per case"
"R01190066649","reshipping one pen per case"
"R02190069719","reshipping one pen per case"
"R07190086471","Reshipping on-ice medication, due to UPS issue."
"R06190082185","reshipping only one pen per pharmacy- possibly defective"
"R01190063758","reshipping order"
"R01190064252","reshipping order"
"R01190065342","reshipping order"
"R02190067644","reshipping order"
"R02190067584","reshipping order"
"R02190069273","reshipping order"
"R03190071474","reshipping order"
"R02190069835","reshipping order"
"R03190071765","reshipping order"
"R04190075207","reshipping order"
"R06190081198","reshipping order"
"R03190072805","reshipping order (1 pen) to client per case"
"R06190081374","reshipping order (interceptor)"
"R04190075195","reshipping order - aging"
"R03190070350","reshipping order client courtesy  -"
"R01190065914","reshipping order - delivered but never received"
"R02190068514","reshipping order number"
"R01190066384","reshipping order number"
"R01190065663","reshipping order number"
"R03190071071","reshipping order number"
"R05190078537","reshipping order out per case 02421773"
"R06190081583","reshipping order per case"
"R06190081781","reshipping order per case"
"R06190081825","reshipping order per case"
"R06190081900","reshipping order per case"
"R06190081908","reshipping order per case"
"R06190082160","reshipping order per case"
"R06190082156","reshipping order per case"
"R03190072009","reshipping order per case"
"R03190071958","reshipping order per case"
"R03190071964","reshipping order per case"
"R01190063986","reshipping order per case"
"R01190066529","reshipping order per case"
"R01190066555","reshipping order per case"
"R01190066633","reshipping order per case"
"R01190066827","reshipping order per case"
"R02190066976","reshipping order per case"
"R01190065379","reshipping order per case"
"R02190068519","reshipping order per case"
"R06190081619","reshipping order per case"
"R01190064831","reshipping order per Case"
"R01190064856","reshipping order per case"
"R01190065238","reshipping order per case"
"R01190064804","reshipping order per case"
"R01190066186","reshipping order per case"
"R01190065520","reshipping order per case"
"R01190065654","reshipping order per case"
"R01190065668","reshipping order per case"
"R01190065974","reshipping order per case"
"R02190067452","reshipping order per case"
"R03190071605","reshipping order per case"
"R02190069387","reshipping order per case"
"R02190069049","reshipping order per case"
"R02190067132","reshipping order per case"
"R02190067142","reshipping order per case"
"R02190067891","reshipping order per case"
"R02190067918","reshipping order per case"
"R02190067926","reshipping order per case"
"R02190068106","reshipping order per case"
"R02190068642","reshipping order per case"
"R02190066944","reshipping order per case"
"R02190067100","reshipping order per case"
"R02190067870","reshipping order per case"
"R02190067885","reshipping order per case"
"R02190068045","reshipping order per case"
"R02190068230","reshipping order per case"
"R02190068390","reshipping order per case"
"R02190068387","reshipping order per case"
"R02190068814","reshipping order per case"
"R02190069021","reshipping order per case"
"R02190069107","reshipping order per case"
"R02190067498","reshipping order per case"
"R02190067697","reshipping order per case"
"R02190068632","reshipping order per case"
"R02190068636","reshipping order per case"
"R02190068964","reshipping order per case"
"R02190068983","reshipping order per case"
"R02190069007","reshipping order per case"
"R02190069741","reshipping order per case"
"R03190072160","reshipping order per case"
"R03190072210","reshipping order per case"
"R03190072235","reshipping order per case"
"R03190071065","reshipping order per case"
"R03190071063","reshipping order per case"
"R03190071751","reshipping order per case"
"R03190070843","reshipping order per case"
"R03190071703","reshipping order per case"
"R03190071711","reshipping order per case"
"R02190069776","reshipping order per case"
"R03190070121","reshipping order per case"
"R04190073649","reshipping order per case"
"R04190073618","reshipping order per case"
"R02190069609","reshipping order per case"
"R03190069925","reshipping order per case"
"R03190070019","reshipping order per case"
"R03190070057","reshipping order per case"
"R03190070073","reshipping order per case"
"R03190072542","reshipping order per case"
"R03190072951","reshipping order per case"
"R03190072970","reshipping order per case"
"R04190074344","reshipping order per case"
"R04190074699","reshipping order per case"
"R03190072833","reshipping order per case"
"R03190072837","reshipping order per case"
"R03190072778","reshipping order per case"
"R04190075362","reshipping order per case"
"R04190073132","reshipping order per case"
"R04190073154","reshipping order per case"
"R04190073356","reshipping order per case"
"R04190073370","reshipping order per case"
"R04190074539","reshipping order per case"
"R04190073261","reshipping order per case"
"R04190073473","reshipping order per case"
"R04190074160","reshipping order per case"
"R04190075006","reshipping order per case"
"R04190075031","reshipping order per case"
"R05190077984","reshipping order per case"
"R04190076065","reshipping order per case"
"R04190076090","reshipping order per case"
"R04190076238","reshipping order per case"
"R04190076479","reshipping order per case"
"R05190077144","reshipping order per case"
"R05190077271","reshipping order per case"
"R05190077501","reshipping order per case"
"R05190077664","reshipping order per case"
"R04190075389","reshipping order per case"
"R04190075580","reshipping order per case"
"R04190075872","reshipping order per case"
"R04190076031","reshipping order per case"
"R04190076195","reshipping order per case"
"R05190077425","reshipping order per case"
"R05190077428","reshipping order per case"
"R05190077455","reshipping order per case"
"R05190077463","Reshipping order per case"
"R04190075386","reshipping order per case"
"R04190076596","reshipping order per case"
"R04190076624","reshipping order per case"
"R04190076847","reshipping order per case"
"R04190076853","reshipping order per case"
"R04190074952","reshipping order per case"
"R04190075495","reshipping order per case"
"R05190078016","reshipping order per case"
"R05190077299","reshipping order per case"
"R04190075089","reshipping order per case"
"R04190075085","reshipping order per case"
"R04190075219","reshipping order per case"
"R05190078000","reshipping order per case"
"R04190076102","reshipping order per case"
"R04190076114","reshipping order per case"
"R05190078053","reshipping order per case"
"R05190078341","reshipping order per case"
"R05190078558","reshipping order per case"
"R05190078556","reshipping order per case"
"R05190080468","reshipping order per case"
"R05190080459","reshipping order per case"
"R05190080480","reshipping order per case"
"R05190080934","reshipping order per case"
"R05190080953","reshipping order per case"
"R05190080931","reshipping order per case"
"R05190080994","reshipping order per case"
"R05190078171","reshipping order per case"
"R05190078168","reshipping order per case"
"R05190078290","reshipping order per case"
"R05190078508","reshipping order per case"
"R05190078674","reshipping order per case"
"R05190079750","Reshipping order per case"
